Distritos;X;Y
EL PRADO;-7.03804176283; -79.0033169689
NIEPOS;-6.9267153943; -79.1314315422
LA VICTORIA;-6.82375627951; -79.8611471889
SAÑ‘A;-6.88714215924; -79.6379965943
ANDAJES;-10.7776031546; -76.9271501653
NAVAN;-10.8571667568; -77.0466439971
ANTONIO RAYMONDI;-10.2032437486; -77.4998683094
LA PRIMAVERA;-10.3018661213; -77.1062888668
PACLLON;-10.2389241417; -77.0034119283
SAN MIGUEL DE CORPANQUI;-10.291529226; -77.2098536041
ACO;-8.50803281313; -77.8834851725
UÑON;-15.7570886661; -72.3831463038
HUANCA;-16.0064310514; -71.8279663222
ICHUPAMPA;-15.5861916615; -71.7053082813
MEJIA;-17.0357349357; -71.878635287
ALCA;-15.1674845618; -72.7118670538
CHARCANA;-15.2108698297; -73.0487833429
HUAYNACOTAS;-14.8749618619; -72.7614806463
PAMPAMARCA;-14.9895726042; -72.9302205529
PUYCA;-14.938960291; -72.5471817606
CALLALLI;-15.521168422; -71.2484257961
SANTA RITA DE SIGUAS;-16.522827373; -72.1441211402
TIABAYA;-16.46345039; -71.5989876399
UCHUMAYO;-16.4609305368; -71.6905392643
YARABAMBA;-16.6135207969; -71.5498749868
YURA;-16.1309425275; -71.6063453715
QUILCA;-16.7007721947; -72.3519148668
SAMUEL PASTOR;-16.6013389241; -72.6524477123
CERRO COLORADO;-16.3044668084; -71.5765987972
MOLLEBAYA;-16.504079477; -71.4738453938
SABANDIA;-16.4482624525; -71.4602312179
SAN JUAN DE SIGUAS;-16.4050588654; -72.1634222578
ALTO SELVA ALEGRE;-16.3309616337; -71.4858577147
JACOBO HUNTER;-16.4587024437; -71.5626129326
YANAHUARA;-16.394744811; -71.5504057829
SAN PEDRO DE CACHORA;-13.4888456903; -72.8140025603
HUANIPACA;-13.4760915864; -72.9752900614
TALAVERA;-13.6275050761; -73.4530283229
ANCO_HUALLO;-13.5442998268; -73.6692713985
BUENOS AIRES;-5.26448516576; -79.9250473328
LALAQUIZ;-5.17202312492; -79.6648825663
MORROPON;-5.15272124881; -79.9983924445
YAMANGO;-5.1565129803; -79.769535452
CHULUCANAS;-5.12169600848; -80.1944091858
CASTILLA;-5.13095183261; -80.5151818243
PAITA;-5.16720016712; -81.0554208192
